#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
20000,159400.00007243367,935.9554299305031,319.2808196834698,2744.0,0.020207834563842144,0
40000,159500.0000725268,782.4350565377938,309.10082052985075,2744.0,0.020207834563842144,6.86e+03
60000,159600.00007261994,839.9022385756846,296.1539257909297,2744.0,0.020207834563842144,6.69e+03
80000,159700.00007271307,893.1504893321874,296.0986450611249,2744.0,0.020207834563842144,6.72e+03
100000,159800.0000728062,902.9291329178366,282.4278405687091,2744.0,0.020207834563842144,6.75e+03
120000,159900.00007289933,968.6762442680109,301.80933622817,2744.0,0.020207834563842144,6.71e+03
140000,160000.00007299246,863.265789501084,312.50592672399347,2744.0,0.020207834563842144,6.69e+03
160000,160100.0000730856,984.2644997866074,298.0221826889781,2744.0,0.020207834563842144,6.69e+03
180000,160200.00007317873,901.9704673054254,293.30267313744014,2744.0,0.020207834563842144,6.7e+03
200000,160300.00007327186,796.5473754175587,305.4857066011756,2744.0,0.020207834563842144,6.72e+03
220000,160400.000073365,821.7721660182498,303.4917480697659,2744.0,0.020207834563842144,6.73e+03
240000,160500.00007345813,845.4335073277296,311.1140893885104,2744.0,0.020207834563842144,6.72e+03
260000,160600.00007355126,840.6469327333818,297.8063923786522,2744.0,0.020207834563842144,6.69e+03
280000,160700.0000736444,864.7750491831252,292.7587824305223,2744.0,0.020207834563842144,6.68e+03
300000,160800.00007373752,983.513430678527,307.3571558373623,2744.0,0.020207834563842144,6.66e+03
320000,160900.00007383066,830.1023663945462,292.8811218648737,2744.0,0.020207834563842144,6.64e+03
340000,161000.0000739238,847.3944239053783,330.58542406729663,2744.0,0.020207834563842144,6.64e+03
360000,161100.00007401692,921.9410925355505,269.34899738975236,2744.0,0.020207834563842144,6.62e+03
380000,161200.00007411005,811.5825351884844,316.37371648562294,2744.0,0.020207834563842144,6.61e+03
400000,161300.00007420318,806.9078513541517,336.8857629894395,2744.0,0.020207834563842144,6.6e+03
420000,161400.00007429632,915.2183425416954,310.9180741590793,2744.0,0.020207834563842144,6.6e+03
440000,161500.00007438945,820.4712373567962,281.092660210532,2744.0,0.020207834563842144,6.59e+03
460000,161600.00007448258,776.4565076316001,304.988170984402,2744.0,0.020207834563842144,6.59e+03
480000,161700.0000745757,907.7990812310318,304.26951354124145,2744.0,0.020207834563842144,6.6e+03
500000,161800.00007466885,868.4988409479897,326.11918842490167,2744.0,0.020207834563842144,6.6e+03
520000,161900.00007476198,910.3690147766392,289.444804429399,2744.0,0.020207834563842144,6.61e+03
540000,162000.0000748551,867.5363241356436,300.9704379430912,2744.0,0.020207834563842144,6.61e+03
560000,162100.00007494824,895.4893467221234,283.3535618636168,2744.0,0.020207834563842144,6.62e+03
580000,162200.00007504137,859.3509973565313,302.51784975855514,2744.0,0.020207834563842144,6.62e+03
600000,162300.0000751345,929.162036845331,302.54272275734775,2744.0,0.020207834563842144,6.62e+03
620000,162400.00007522764,864.3086428969552,298.7451903876831,2744.0,0.020207834563842144,6.61e+03
640000,162500.00007532077,859.5786466364393,303.10903650019867,2744.0,0.020207834563842144,6.6e+03
660000,162600.0000754139,850.1211153713712,300.88695895468777,2744.0,0.020207834563842144,6.59e+03
680000,162700.00007550704,908.5292875503233,308.51397736477134,2744.0,0.020207834563842144,6.59e+03
700000,162800.00007560017,941.9684074296486,326.9184322654672,2744.0,0.020207834563842144,6.6e+03
720000,162900.0000756933,859.9067120641998,313.1149593995991,2744.0,0.020207834563842144,6.6e+03
740000,163000.00007578643,836.1727770590262,300.640262611948,2744.0,0.020207834563842144,6.6e+03
760000,163100.00007587956,965.2792678672831,304.35901682747703,2744.0,0.020207834563842144,6.59e+03
780000,163200.0000759727,782.6675775455498,298.938334852955,2744.0,0.020207834563842144,6.58e+03
800000,163300.00007606583,820.2973870490105,294.39475424992065,2744.0,0.020207834563842144,6.58e+03
820000,163400.00007615896,969.3772663405787,307.4906893273602,2744.0,0.020207834563842144,6.57e+03
840000,163500.0000762521,817.8662358816487,292.5434648328347,2744.0,0.020207834563842144,6.57e+03
860000,163600.00007634523,754.9582503661053,329.50800315245226,2744.0,0.020207834563842144,6.56e+03
