#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
20000,18799.9999993365,988.6065844870889,293.3880766948128,2744.0,0.020207834563842144,0
40000,18899.999999356874,873.0159693587622,301.47272485354887,2744.0,0.020207834563842144,6.45e+03
60000,18999.999999377247,784.1344848353418,324.59228201830456,2744.0,0.020207834563842144,6.52e+03
80000,19099.99999939762,820.3644091855725,318.63092862853546,2744.0,0.020207834563842144,6.49e+03
100000,19199.999999417993,834.8532106235263,310.5372538878463,2744.0,0.020207834563842144,6.52e+03
120000,19299.999999438365,857.4351758293466,307.9926183462352,2744.0,0.020207834563842144,6.5e+03
140000,19399.999999458738,759.8161025331752,284.6972309846284,2744.0,0.020207834563842144,6.47e+03
160000,19499.99999947911,920.5763298560166,296.9478945327036,2744.0,0.020207834563842144,6.45e+03
180000,19599.999999499483,820.9621130089733,326.09072486538486,2744.0,0.020207834563842144,6.43e+03
200000,19699.999999519856,932.1068652216472,296.22504570848514,2744.0,0.020207834563842144,6.4e+03
220000,19799.99999954023,891.5056559189533,289.6209315517639,2744.0,0.020207834563842144,6.38e+03
240000,19899.9999995606,912.3023269732471,293.89955309594495,2744.0,0.020207834563842144,6.37e+03
260000,19999.999999580974,855.3915819987212,285.10972089059175,2744.0,0.020207834563842144,6.37e+03
280000,20099.999999601347,976.68371780793,331.8751433323801,2744.0,0.020207834563842144,6.36e+03
300000,20199.99999962172,832.1599791887907,301.3916263228495,2744.0,0.020207834563842144,6.36e+03
320000,20299.999999642092,903.590200199212,314.2852369782962,2744.0,0.020207834563842144,6.35e+03
340000,20399.999999662465,905.9913523999537,324.3152643295429,2744.0,0.020207834563842144,6.35e+03
360000,20499.999999682837,863.8857989310695,320.69836338070263,2744.0,0.020207834563842144,6.34e+03
380000,20599.99999970321,844.5132117988596,295.75834334489974,2744.0,0.020207834563842144,6.34e+03
400000,20699.999999723583,860.4970230175815,280.9092211230534,2744.0,0.020207834563842144,6.34e+03
420000,20799.999999743955,834.925717607571,318.34492270771074,2744.0,0.020207834563842144,6.34e+03
440000,20899.999999764328,878.2607292396947,300.44646246830746,2744.0,0.020207834563842144,6.34e+03
460000,20999.9999997847,784.6027500549906,301.1065361601459,2744.0,0.020207834563842144,6.34e+03
480000,21099.999999805073,837.8111133544668,287.2128662683473,2744.0,0.020207834563842144,6.34e+03
500000,21199.999999825446,867.1239445047822,264.31657754668925,2744.0,0.020207834563842144,6.35e+03
520000,21299.99999984582,828.3437898315751,326.47059354538584,2744.0,0.020207834563842144,6.36e+03
540000,21399.99999986619,868.6420795821889,277.83195027531764,2744.0,0.020207834563842144,6.36e+03
560000,21499.999999886564,925.3246538869838,308.77260931136794,2744.0,0.020207834563842144,6.36e+03
580000,21599.999999906937,916.1329517199912,308.6591527059078,2744.0,0.020207834563842144,6.36e+03
600000,21699.99999992731,922.2843183541289,292.9336724958438,2744.0,0.020207834563842144,6.36e+03
620000,21799.999999947682,890.9447856071005,301.90094478734414,2744.0,0.020207834563842144,6.36e+03
640000,21899.999999968055,873.9970026602739,312.5185364976188,2744.0,0.020207834563842144,6.35e+03
660000,21999.999999988428,945.6228868715951,284.0879967975361,2744.0,0.020207834563842144,6.36e+03
680000,22100.0000000088,1030.1297940745524,294.3568484651922,2744.0,0.020207834563842144,6.36e+03
700000,22200.000000029173,902.6903114759531,307.3079622462881,2744.0,0.020207834563842144,6.37e+03
720000,22300.000000049546,936.0964423653759,292.38810888829,2744.0,0.020207834563842144,6.37e+03
740000,22400.00000006992,922.8026414948325,307.3503981755893,2744.0,0.020207834563842144,6.38e+03
760000,22500.00000009029,910.5765950515995,289.6026625463203,2744.0,0.020207834563842144,6.38e+03
780000,22600.000000110664,988.3507613845683,311.8594880048091,2744.0,0.020207834563842144,6.38e+03
800000,22700.000000131036,865.9465963992234,311.58379138648075,2744.0,0.020207834563842144,6.38e+03
820000,22800.00000015141,796.2539952092976,281.2953209478461,2744.0,0.020207834563842144,6.38e+03
840000,22900.00000017178,970.6728065476664,284.041695445596,2744.0,0.020207834563842144,6.38e+03
860000,23000.000000192154,911.0431386201392,296.6624975429018,2744.0,0.020207834563842144,6.38e+03
880000,23100.000000212527,926.5049346854171,292.1485148336773,2744.0,0.020207834563842144,6.38e+03
900000,23200.0000002329,847.9966692475027,287.36718965835263,2744.0,0.020207834563842144,6.38e+03
920000,23300.000000253272,831.3645704014439,301.55666822921773,2744.0,0.020207834563842144,6.38e+03
940000,23400.000000273645,825.0844263469507,294.7527153547891,2744.0,0.020207834563842144,6.38e+03
960000,23500.000000294018,783.3366995850113,301.4696914944226,2744.0,0.020207834563842144,6.39e+03
980000,23600.00000031439,805.4872635602346,294.5960398745997,2744.0,0.020207834563842144,6.39e+03
1000000,23700.000000334763,937.5173470344258,286.378777667902,2744.0,0.020207834563842144,6.4e+03
1020000,23800.000000355136,814.3059023075266,297.72808296918726,2744.0,0.020207834563842144,6.4e+03
1040000,23900.00000037551,888.3803331979123,286.628016300151,2744.0,0.020207834563842144,6.4e+03
1060000,24000.00000039588,924.7899567264444,298.78168569857536,2744.0,0.020207834563842144,6.41e+03
1080000,24100.000000416254,931.3949912915807,304.97344394078107,2744.0,0.020207834563842144,6.41e+03
1100000,24200.000000436627,950.7628826530422,328.56647896666755,2744.0,0.020207834563842144,6.41e+03
1120000,24300.000000457,892.3315911314776,315.6049033844939,2744.0,0.020207834563842144,6.41e+03
1140000,24400.000000477372,887.2718459920188,316.6842109267597,2744.0,0.020207834563842144,6.41e+03
1160000,24500.000000497745,834.0758527034959,305.2158919253419,2744.0,0.020207834563842144,6.41e+03
1180000,24600.000000518117,755.9414266117083,300.1950926415428,2744.0,0.020207834563842144,6.41e+03
1200000,24700.00000053849,900.2890427961231,304.8723887693822,2744.0,0.020207834563842144,6.41e+03
1220000,24800.000000558863,848.2048587474284,293.3458185906504,2744.0,0.020207834563842144,6.41e+03
1240000,24900.000000579235,806.7421658343668,290.3899318995233,2744.0,0.020207834563842144,6.41e+03
1260000,25000.000000599608,851.5310002052328,316.458710063524,2744.0,0.020207834563842144,6.41e+03
1280000,25100.00000061998,840.5322970893337,327.9750630894834,2744.0,0.020207834563842144,6.41e+03
1300000,25200.000000640353,858.6720388816966,321.0690864923079,2744.0,0.020207834563842144,6.41e+03
1320000,25300.000000660726,895.6991807824855,273.36106532465254,2744.0,0.020207834563842144,6.41e+03
1340000,25400.0000006811,863.6084943058968,286.35713545790355,2744.0,0.020207834563842144,6.42e+03
1360000,25500.00000070147,909.3032683871938,311.72276253913725,2744.0,0.020207834563842144,6.42e+03
1380000,25600.000000721844,917.6185710672227,310.96174776308635,2744.0,0.020207834563842144,6.42e+03
1400000,25700.000000742217,968.1744236656066,310.00172177861975,2744.0,0.020207834563842144,6.43e+03
1420000,25800.00000076259,825.2325906163113,298.79365217383764,2744.0,0.020207834563842144,6.43e+03
1440000,25900.000000782962,773.5620876092539,296.8461900987326,2744.0,0.020207834563842144,6.43e+03
1460000,26000.000000803335,880.33866174456,310.11429956959967,2744.0,0.020207834563842144,6.44e+03
1480000,26100.000000823708,829.680102601973,305.5398462983594,2744.0,0.020207834563842144,6.44e+03
1500000,26200.00000084408,886.2039909022892,289.9683781478536,2744.0,0.020207834563842144,6.44e+03
1520000,26300.000000864453,829.3640534744252,300.34596691991624,2744.0,0.020207834563842144,6.44e+03
1540000,26400.000000884826,875.9467703730331,333.1752812720324,2744.0,0.020207834563842144,6.45e+03
1560000,26500.0000009052,729.4630706558457,321.7419934308509,2744.0,0.020207834563842144,6.44e+03
1580000,26600.00000092557,824.2997380369488,310.50611470768314,2744.0,0.020207834563842144,6.44e+03
1600000,26700.000000945944,846.7231445969805,299.8294739698268,2744.0,0.020207834563842144,6.44e+03
1620000,26800.000000966316,828.1054093509364,312.1822666632705,2744.0,0.020207834563842144,6.44e+03
1640000,26900.00000098669,914.6572462440861,325.86479351686677,2744.0,0.020207834563842144,6.44e+03
1660000,27000.00000100706,927.8786246534975,309.4016335072645,2744.0,0.020207834563842144,6.44e+03
1680000,27100.000001027434,1007.4545583897198,296.3409678540923,2744.0,0.020207834563842144,6.44e+03
1700000,27200.000001047807,851.962405800705,309.00713347000607,2744.0,0.020207834563842144,6.44e+03
1720000,27300.00000106818,795.9294799187164,310.57901205193843,2744.0,0.020207834563842144,6.44e+03
1740000,27400.000001088552,848.3355055320169,289.00814894621215,2744.0,0.020207834563842144,6.44e+03
1760000,27500.000001108925,925.2861515927107,307.16971134290725,2744.0,0.020207834563842144,6.44e+03
1780000,27600.000001129298,1198.8911700002877,353.5716945727557,2744.0,0.020207834563842144,6.44e+03
1800000,27700.00000114967,886.4812569742318,285.40041172612655,2744.0,0.020207834563842144,6.44e+03
1820000,27800.000001170043,891.5507808431191,302.9064117456507,2744.0,0.020207834563842144,6.44e+03
1840000,27900.000001190416,887.5457960929791,306.99158621893537,2744.0,0.020207834563842144,6.44e+03
1860000,28000.00000121079,830.0819412547969,304.11591123025676,2744.0,0.020207834563842144,6.44e+03
1880000,28100.00000123116,838.9975675969677,274.5365928067262,2744.0,0.020207834563842144,6.43e+03
1900000,28200.000001251534,883.2786035660313,310.38904916621374,2744.0,0.020207834563842144,6.43e+03
1920000,28300.000001271907,863.8373288670319,312.1252694376101,2744.0,0.020207834563842144,6.43e+03
1940000,28400.00000129228,791.4202477759883,284.03161438914833,2744.0,0.020207834563842144,6.43e+03
1960000,28500.000001312652,888.3314051470289,305.29712755035894,2744.0,0.020207834563842144,6.43e+03
1980000,28600.000001333025,994.0171744885754,321.81261806495894,2744.0,0.020207834563842144,6.43e+03
2000000,28700.000001353397,891.8674059128052,311.7325205686616,2744.0,0.020207834563842144,6.43e+03
2020000,28800.00000137377,865.0553032392694,313.4651993686381,2744.0,0.020207834563842144,6.43e+03
2040000,28900.000001394143,757.7507480231845,307.90000832036446,2744.0,0.020207834563842144,6.43e+03
2060000,29000.000001414515,989.5249074266213,293.72399169212855,2744.0,0.020207834563842144,6.43e+03
2080000,29100.000001434888,748.6276290606489,313.55050795304555,2744.0,0.020207834563842144,6.43e+03
2100000,29200.00000145526,925.8041803400226,310.57999865228567,2744.0,0.020207834563842144,6.43e+03
2120000,29300.000001475633,917.8777581949178,287.475566355564,2744.0,0.020207834563842144,6.43e+03
2140000,29400.000001496006,823.2842614677279,308.48336380382125,2744.0,0.020207834563842144,6.43e+03
2160000,29500.00000151638,886.077576497805,267.8775004187148,2744.0,0.020207834563842144,6.43e+03
2180000,29600.00000153675,881.847806575414,319.3211997055988,2744.0,0.020207834563842144,6.43e+03
2200000,29700.000001557124,920.1876380702088,289.58885519201283,2744.0,0.020207834563842144,6.43e+03
2220000,29800.000001577497,985.5968459774771,309.84232097725044,2744.0,0.020207834563842144,6.44e+03
2240000,29900.00000159787,873.0976805625868,277.88350888274044,2744.0,0.020207834563842144,6.44e+03
2260000,30000.000001618242,936.2944705046294,282.8640065434893,2744.0,0.020207834563842144,6.44e+03
2280000,30100.000001638615,784.8448908684434,297.75736684745567,2744.0,0.020207834563842144,6.44e+03
2300000,30200.000001658987,961.1833700302441,303.18087764539695,2744.0,0.020207834563842144,6.44e+03
2320000,30300.00000167936,855.6116777778606,320.7007555560703,2744.0,0.020207834563842144,6.44e+03
2340000,30400.000001699733,866.8264310727668,316.2612740245691,2744.0,0.020207834563842144,6.44e+03
2360000,30500.000001720106,785.1627167643384,287.53299530461317,2744.0,0.020207834563842144,6.44e+03
2380000,30600.00000174048,820.061517532472,316.91765419801624,2744.0,0.020207834563842144,6.44e+03
2400000,30700.00000176085,845.5466174899964,300.02586509427107,2744.0,0.020207834563842144,6.43e+03
2420000,30800.000001781224,928.357213608835,290.66652843149194,2744.0,0.020207834563842144,6.43e+03
2440000,30900.000001801596,915.8835253363495,287.21444535905147,2744.0,0.020207834563842144,6.43e+03
2460000,31000.00000182197,804.3395298116094,283.0108379013421,2744.0,0.020207834563842144,6.43e+03
2480000,31100.00000184234,730.2950095657222,332.7044077320249,2744.0,0.020207834563842144,6.43e+03
2500000,31200.000001862714,798.4854673650959,269.2889848429065,2744.0,0.020207834563842144,6.43e+03
2520000,31300.000001883087,928.1164821303687,325.2377620729051,2744.0,0.020207834563842144,6.43e+03
2540000,31400.00000190346,991.6824274807553,319.2343157212753,2744.0,0.020207834563842144,6.43e+03
2560000,31500.000001923832,899.520141162227,297.2326838290805,2744.0,0.020207834563842144,6.44e+03
2580000,31600.000001944205,956.7353472556458,290.1176844083313,2744.0,0.020207834563842144,6.44e+03
2600000,31700.000001964578,849.6988914820316,305.6580832706995,2744.0,0.020207834563842144,6.44e+03
2620000,31800.00000198495,850.6193449016005,314.5885608407961,2744.0,0.020207834563842144,6.44e+03
2640000,31900.000002005323,904.9883923302741,310.41404697993573,2744.0,0.020207834563842144,6.44e+03
2660000,32000.000002025696,922.9557975925209,277.6170648694204,2744.0,0.020207834563842144,6.44e+03
2680000,32100.00000204607,845.199239930389,307.2775795244559,2744.0,0.020207834563842144,6.44e+03
2700000,32200.00000206644,872.7189227036442,313.5158426680878,2744.0,0.020207834563842144,6.45e+03
2720000,32300.000002086814,859.0613656595781,344.28213453533704,2744.0,0.020207834563842144,6.45e+03
2740000,32400.000002107186,899.517377613688,295.48407847199496,2744.0,0.020207834563842144,6.45e+03
2760000,32500.00000212756,911.4315334565995,298.6914007305603,2744.0,0.020207834563842144,6.45e+03
2780000,32600.00000214793,932.0075972296086,300.6677812121291,2744.0,0.020207834563842144,6.45e+03
2800000,32700.000002168304,862.4574584799436,281.4737991634621,2744.0,0.020207834563842144,6.45e+03
2820000,32800.00000216539,919.312318671387,291.4849454741383,2744.0,0.020207834563842144,6.45e+03
2840000,32900.000002113,958.1113893065984,308.5046658329712,2744.0,0.020207834563842144,6.45e+03
2860000,33000.00000206062,850.4863482473309,291.6373034918581,2744.0,0.020207834563842144,6.45e+03
2880000,33100.00000200823,891.4646741229536,293.1062481162993,2744.0,0.020207834563842144,6.44e+03
2900000,33200.00000195584,965.3638485371877,312.04912826143624,2744.0,0.020207834563842144,6.44e+03
2920000,33300.000001903456,867.317364800769,302.71375265670866,2744.0,0.020207834563842144,6.44e+03
2940000,33400.00000185107,862.1767750880105,305.12900885588823,2744.0,0.020207834563842144,6.44e+03
2960000,33500.00000179868,744.3318072835311,309.75146987409903,2744.0,0.020207834563842144,6.44e+03
2980000,33600.000001746295,899.735660617278,310.2890013635677,2744.0,0.020207834563842144,6.44e+03
3000000,33700.00000169391,903.3909043263507,291.97322172917075,2744.0,0.020207834563842144,6.44e+03
3020000,33800.00000164152,872.047384050615,316.0396956162432,2744.0,0.020207834563842144,6.44e+03
3040000,33900.000001589135,868.3266345079716,315.8454752191949,2744.0,0.020207834563842144,6.44e+03
